Reach,Start,End,Volume,Class
1,2322.27,2554.84,7967,Moderately critical
2,4540.94,4711.43,8141.5,Moderately critical
3,5469.65,6093.39,35438,Critical
4,6983.17,7724.01,17500.5,Sub-Critical
5,10751.47,11685.4,101955.6,Extremely Critical
6,11979.59,12265.11,27837,Critical
7,12885.6,13014.64,2120.4,Low Critical
8,14809.37,15331.63,32452.9,Critical
9,17157.19,17503.56,16686.8,Sub-Critical
10,18803.18,19775.43,109165.7,Extremely Critical
11,20203.67,20462.13,1455.5,Low Critical
13,25817.09,26202.97,10351.1,Moderately critical
14,26505.95,26934.12,21160.5,Sub-Critical
12,28698.38,29854.8,116974,Extremely Critical
15,33530.22,33731.48,2967.3,Low Critical
16,41159.47,41293.08,1929,Low Critical
17,41605.52,41825.77,8671,Moderately critical
